Country/Territories,Currency,Currency Code,Currency Units per £1,Start date,End date
Mauritania,Ouguiya,MRU,50.0616,1/3/24,31/03/2024
Mauritius,Rupee,MUR,58.0333,1/3/24,31/03/2024
Mexico,Mexican Peso,MXN,21.5151,1/3/24,31/03/2024
Moldova,Leu,MDL,22.5596,1/3/24,31/03/2024
Mongolia,Tugrik,MNT,4293.1324,1/3/24,31/03/2024
Montserrat,E Caribbean Dollar,XCD,3.4088,1/3/24,31/03/2024
Morocco,Dirham,MAD,12.7248,1/3/24,31/03/2024
Mozambique,Metical,MZN,80.5497,1/3/24,31/03/2024
Myanmar,Kyat,MMK,2646.0834,1/3/24,31/03/2024
Nepal,Rupee,NPR,167.4975,1/3/24,31/03/2024
New Caledonia,CFP Franc,XPF,139.4018,1/3/24,31/03/2024
New Zealand,Dollar,NZD,2.0402,1/3/24,31/03/2024
Nicaragua,Gold Cordoba,NIO,46.3527,1/3/24,31/03/2024
Niger Republic,CFA Franc,XOF,766.2805,1/3/24,31/03/2024
Nigeria,Naira,NGN,2011.5792,1/3/24,31/03/2024
Norway,Norwegian Krone,NOK,13.2278,1/3/24,31/03/2024
Oman,Rial,OMR,0.4857,1/3/24,31/03/2024
Pakistan,Rupee,PKR,352.6072,1/3/24,31/03/2024
Panama,Balboa,PAB,1.2614,1/3/24,31/03/2024
Papua New Guinea,Kina,PGK,4.7509,1/3/24,31/03/2024
Paraguay,Guarani,PYG,9201.816,1/3/24,31/03/2024
Peru,New Sol,PEN,4.7731,1/3/24,31/03/2024
Philippines,Peso,PHP,70.5776,1/3/24,31/03/2024
Poland,Zloty,PLN,5.0385,1/3/24,31/03/2024
Qatar,Riyal,QAR,4.5917,1/3/24,31/03/2024
Romania,New Leu,RON,5.8133,1/3/24,31/03/2024
Russia,Rouble,RUB,116.3131,1/3/24,31/03/2024
Rwanda,Franc,RWF,1605.81,1/3/24,31/03/2024
Saudi Arabia,Riyal,SAR,4.7304,1/3/24,31/03/2024
Senegal,CFA Franc,XOF,766.2805,1/3/24,31/03/2024
Serbia,Dinar,RSD,136.9006,1/3/24,31/03/2024
Seychelles,Rupee,SCR,17.3801,1/3/24,31/03/2024
Sierra Leone,Leone,SLE,28.7501,1/3/24,31/03/2024
Singapore,Dollar,SGD,1.6959,1/3/24,31/03/2024
Soloman Islands,Dollar,SBD,10.4853,1/3/24,31/03/2024
Somali Republic,Schilling,SOS,720.6312,1/3/24,31/03/2024
South Africa,Rand,ZAR,23.8639,1/3/24,31/03/2024
South Korea,Won,KRW,1683.5372,1/3/24,31/03/2024
Sri Lanka,Rupee,LKR,392.7616,1/3/24,31/03/2024
St Christopher & Anguilla,E Caribbean Dollar,XCD,3.4088,1/3/24,31/03/2024
St Lucia,E Caribbean Dollar,XCD,3.4088,1/3/24,31/03/2024
St Vincent,E Caribbean Dollar,XCD,3.4088,1/3/24,31/03/2024
Sudan Republic,Pound,SDG,757.7077,1/3/24,31/03/2024
Surinam,Dollar,SRD,44.8169,1/3/24,31/03/2024
Swaziland,Lilangeni,SZL,23.8639,1/3/24,31/03/2024
Sweden,Krona,SEK,13.095,1/3/24,31/03/2024
Switzerland,Franc,CHF,1.1104,1/3/24,31/03/2024
Taiwan,Dollar,TWD,39.7699,1/3/24,31/03/2024
Tanzania,Schilling,TZS,3202.3171,1/3/24,31/03/2024
Thailand,Baht,THB,45.2204,1/3/24,31/03/2024
Togo Republic,CFA Franc,XOF,766.2805,1/3/24,31/03/2024
Tonga Islands,Pa'anga (AUS),TOP,2.9693,1/3/24,31/03/2024
Trinidad/Tobago,Dollar,TTD,8.5533,1/3/24,31/03/2024
Tunisia,Dinar,TND,3.941,1/3/24,31/03/2024
Turkey,Turkish  Lira,TRY,39.0863,1/3/24,31/03/2024
Turkmenistan,New Manat,TMT,4.4107,1/3/24,31/03/2024
UAE,Dirham,AED,4.6327,1/3/24,31/03/2024
USA,Dollar,USD,1.2614,1/3/24,31/03/2024
Uganda,Schilling,UGX,4904.8204,1/3/24,31/03/2024
Ukraine,Hryvnia,UAH,48.7065,1/3/24,31/03/2024
Uruguay,Peso,UYU,49.3034,1/3/24,31/03/2024
Uzbekistan,Sum,UZS,15728.3897,1/3/24,31/03/2024
Vanuatu,Vatu,VUV,151.4872,1/3/24,31/03/2024
Venezuela,Bolivar Fuerte,VEF,4570650.135,1/3/24,31/03/2024
Vietnam,Dong,VND,30825.798,1/3/24,31/03/2024
Wallis & Futuna Islands,CFP Franc,XPF,139.4018,1/3/24,31/03/2024
Western Samoa,Tala,WST,3.4571,1/3/24,31/03/2024
Yemen (Rep of),Rial,YER,315.7542,1/3/24,31/03/2024
Zambia,Kwacha,ZMW,28.743,1/3/24,31/03/2024
Zimbabwe,Dollar,ZWL,16576.6675,1/3/24,31/03/2024
